"","Season","Team","W","L","SV","GS","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","WAR.x","Zone.","tERA","K..x","BB..x","ER","K.BB","K.BB.","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","SO","Pitches","Balls","Strikes","BB..y","K..y","OBP","SLG","OPS","WAR.y","Z.Swing.","Z.Contact."
"43",2016,"LAA",74,88,29,162,7.19,3.15,1.32,0.301,"75.0%","40.8%","12.5%",4.28,4.62,8,"45.5%",4.8,"18.6%","8.1%",676,2.28,"10.4%",5431,6041,1410,955,279,20,156,717,686,471,991,22543,8135,14408,"7.8%","16.4%",0.322,0.405,0.726,16.6,"67.5%","89.2%"
"44",2016,"LAD",91,71,47,162,9.35,2.87,1.02,0.288,"73.8%","42.8%","11.7%",3.7,3.61,20,"45.1%",3.75,"25.1%","7.7%",598,3.25,"17.4%",5518,6164,1375,893,272,21,189,725,680,525,1321,23749,8839,14910,"8.5%","21.4%",0.319,0.409,0.728,21.5,"67.5%","86.5%"
"45",2016,"MIA",79,82,55,161,8.65,3.73,0.95,0.303,"74.0%","43.0%","10.9%",4.05,3.97,15.5,"44.0%",4.27,"22.4%","9.7%",646,2.32,"12.7%",5547,6133,1460,1031,259,42,128,655,626,447,1213,23662,8437,15225,"7.3%","19.8%",0.322,0.394,0.716,19.8,"63.8%","88.1%"
"46",2016,"MIL",73,89,46,162,7.37,3.34,1.12,0.3,"73.1%","46.0%","12.4%",4.1,4.37,11.1,"44.4%",4.81,"19.0%","8.6%",653,2.21,"10.4%",5330,6061,1299,837,249,19,194,671,641,599,1543,24181,9028,15153,"9.9%","25.5%",0.322,0.407,0.729,15.4,"65.7%","83.5%"
"47",2016,"MIN",59,103,26,162,7.43,2.99,1.38,0.319,"68.3%","43.0%","13.9%",5.09,4.57,10.7,"43.1%",5.13,"18.9%","7.6%",816,2.49,"11.3%",5618,6245,1409,886,288,35,200,722,690,513,1426,24633,8991,15642,"8.2%","22.8%",0.316,0.421,0.738,15.8,"63.4%","85.5%"
"48",2016,"NYM",87,75,55,162,8.68,2.73,0.95,0.308,"75.6%","44.2%","11.1%",3.58,3.57,21.5,"46.7%",3.81,"23.0%","7.2%",576,3.18,"15.8%",5459,6115,1342,865,240,19,218,671,649,517,1302,23980,8890,15090,"8.5%","21.3%",0.316,0.417,0.733,21.6,"66.6%","87.4%"
"49",2016,"NYY",84,78,48,162,8.78,2.8,1.35,0.292,"74.2%","46.9%","15.5%",4.16,4.2,18.7,"43.8%",4.39,"23.1%","7.4%",661,3.14,"15.8%",5458,6058,1377,929,245,20,183,680,647,475,1188,23232,8475,14757,"7.8%","19.6%",0.314,0.405,0.72,14.9,"65.8%","88.6%"
"50",2016,"OAK",69,93,42,162,7.46,2.91,1.16,0.299,"70.7%","46.2%","12.5%",4.51,4.24,13.7,"45.6%",4.39,"19.3%","7.6%",719,2.56,"11.8%",5500,6022,1352,892,270,21,169,653,634,442,1145,23061,8364,14697,"7.3%","19.0%",0.304,0.395,0.699,4.3,"66.3%","87.0%"
"51",2016,"PHI",71,91,43,162,8.14,2.92,1.33,0.304,"70.5%","41.0%","13.8%",4.64,4.34,13.9,"45.7%",4.82,"21.1%","7.6%",741,2.79,"13.5%",5434,5992,1306,879,231,35,161,610,575,424,1376,22887,8089,14798,"7.1%","23.0%",0.301,0.385,0.685,7.2,"68.9%","85.4%"
"52",2016,"PIT",78,83,51,162,7.64,3.31,1.12,0.306,"72.5%","46.9%","13.0%",4.22,4.3,9,"43.4%",4.65,"19.6%","8.5%",681,2.31,"11.1%",5542,6261,1426,964,277,32,153,729,696,561,1334,24900,9296,15604,"9.0%","21.3%",0.332,0.402,0.734,22.4,"66.3%","86.1%"
