"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2020","DET","882","2076","62","249","242","19","7.1%","27.3%",".152",".314",".245",".303",".397",".303","","92","-2.3","-23.3","-13.0","5.4"
"2022","ARI","2407","6027","173","702","658","104","8.8%","22.2%",".155",".272",".230",".304",".385",".303","","93","25.4","-27.1","13.0","19.8"
"2022","WSN","2347","5998","136","603","579","75","7.4%","20.4%",".129",".295",".249",".310",".377",".303","","93","-25.1","-75.0","-68.3","6.1"
"2018","KCR","2184","6063","155","638","606","117","7.0%","21.6%",".146",".293",".245",".305",".392",".303","","87","-7.4","-98.8","-31.1","7.8"
"2022","TBR","2403","6008","139","666","634","95","8.3%","23.2%",".138",".295",".239",".309",".377",".302","","101","4.0","13.2","-15.3","19.8"
"2016","OAK","2343","6022","169","653","634","50","7.3%","19.0%",".149",".280",".246",".304",".395",".302","","89","-22.2","-100.5","-63.2","4.3"
"2019","KCR","2269","6080","162","691","655","117","7.5%","23.1%",".154",".301",".247",".309",".401",".302","","84","-1.7","-126.2","-24.5","6.7"
"2022","KCR","2372","6010","138","640","613","104","7.7%","21.4%",".136",".293",".244",".306",".380",".302","","93","2.2","-48.3","-40.7","10.7"
"2015","MIA","2297","5988","120","613","575","112","6.3%","19.2%",".124",".307",".260",".310",".384",".302","","91","-1.2","-67.3","26.9","15.3"
"2021","ARI","2449","6144","144","679","644","43","8.7%","23.8%",".146",".295",".236",".309",".382",".301","","85","6.6","-113.2","15.8","10.9"
"2022","LAA","2327","5977","190","623","600","77","7.5%","25.7%",".157",".289",".233",".297",".390",".300","","93","-0.8","-47.1","-29.4","11.9"
"2021","SEA","2360","6010","199","697","673","64","8.9%","24.8%",".159",".273",".226",".303",".385",".300","","94","-7.1","-53.9","-27.9","12.3"
"2015","CHW","2265","6070","136","622","595","68","6.7%","20.3%",".130",".296",".250",".306",".380",".300","","89","-15.2","-94.3","-21.6","8.8"
"2018","BAL","2313","6034","188","622","593","81","7.0%","23.4%",".152",".286",".239",".298",".391",".299","","87","-9.6","-104.1","-54.0","4.8"
"2022","CIN","2406","5978","156","648","618","58","7.6%","23.9%",".137",".290",".235",".304",".372",".299","","85","-15.6","-123.3","-28.4","5.2"
"2015","PHI","2321","6053","130","626","586","88","6.4%","21.0%",".133",".299",".249",".303",".382",".298","","86","-1.9","-100.3","-3.9","8.8"
"2015","SDP","2396","6019","148","650","623","82","7.1%","22.0%",".142",".292",".243",".300",".385",".298","","90","5.0","-63.2","31.5","16.4"
"2020","SEA","843","2181","60","254","244","50","9.5%","25.0%",".144",".281",".226",".309",".370",".298","","92","7.0","-15.4","-8.8","5.5"
"2017","SDP","2342","5954","189","604","576","89","7.7%","25.2%",".160",".287",".234",".299",".393",".298","","82","6.7","-132.7","20.1","8.9"
"2016","SDP","2355","6000","177","686","654","125","7.5%","25.0%",".155",".291",".235",".299",".390",".297","","84","24.8","-92.3","-1.6","9.7"
"2017","SFG","2372","6137","128","639","612","76","7.6%","19.6%",".132",".294",".249",".309",".380",".296","","83","2.6","-134.1","16.0","8.9"
"2016","PHI","2348","5992","161","610","575","96","7.1%","23.0%",".144",".292",".240",".301",".385",".296","","81","0.9","-137.5","19.3","7.2"
"2015","ATL","2340","6034","100","573","548","69","7.8%","18.3%",".108",".297",".251",".314",".359",".296","","84","-2.7","-115.5","22.4","9.9"
"2018","DET","2323","6029","135","630","597","70","7.1%","22.2%",".138",".293",".241",".300",".380",".295","","83","6.4","-118.5","-44.9","4.2"
"2019","SFG","2493","6170","167","678","655","47","7.7%","23.3%",".153",".290",".239",".302",".392",".295","","82","-3.4","-149.1","43.6","8.9"
